species,mass,spp.names,spp.names2
Chilomonas paramecium,1,Chilomonas,chilomonas
Entosiphon sp.,2,Entosiphon*,entosiphon
Tetrahymena pyriformis,10,Tetrahymena,tetrahymena
Loxocephallus sp.,11,Loxocephallus,loxocephallus
Colpoda cuculus,42,Colpoda,colpoda
Colpidium striatum,47,Colpidium,colpidium
Monostyla (Lepadella sp.),114,Monostyla1*,lepadella
Paramecium caudatum,128,P. caudatum*,p.caudatum
Paramecium bursaria,272,P. bursaria*,p.bursaria
Didinium nasutum,683,Didinium*,didinium 
Blepharisma japonicum,1017,Blepharisma*,blepharisma
Vorticella sp.,50,Vorticella*,vorticella 
Cyclidium glaucoma,2,Cyclidium*,cyclidium 
Dileptus anser,3028,Dileptus,dileptus
Euplotes patella,125,Euplotes*,euplotes 
Monostyla2 (Dicanophoridae sp.),109,Monostyla2*,dicanophoridae
Telotrochidium hennegui,451,Telotrochidium,telotrochidium
